method,lambda,epsilon,cost,emission,objective,dv_distance,od_extra_distance,runtime_sec,gap,validator_pass
epsilon_constraint,,77.85476672718833,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.5248849999989034,0.0,True
epsilon_constraint,,77.92321622456656,24.28427622523578,77.85476672718833,24.284276225235764,21.783307199495272,12.504845128702518,0.5354281249965425,0.0,True
epsilon_constraint,,77.9916657219448,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.4136905829946045,0.0,True
epsilon_constraint,,78.06011521932302,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.49372158299956936,0.0,True
epsilon_constraint,,78.12856471670126,24.28427622523578,77.85476672718833,24.284276225235768,21.783307199495272,12.504845128702518,0.5319766669999808,0.0,True
epsilon_constraint,,78.19701421407949,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.4102566250003292,0.0,True
epsilon_constraint,,78.26546371145773,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.764467084001808,0.0,True
epsilon_constraint,,78.33391320883595,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.513565583001764,0.0,True
epsilon_constraint,,78.40236270621419,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.7958826670001145,0.0,True
epsilon_constraint,,78.47081220359242,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.9012604160016053,0.0,True
epsilon_constraint,,78.53926170097066,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.8437152080005035,0.0,True
epsilon_constraint,,78.60771119834888,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,1.494657333001669,0.0,True
epsilon_constraint,,78.6761606957271,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.7959494160022587,0.0,True
epsilon_constraint,,78.74461019310534,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.8501170000017737,0.0,True
epsilon_constraint,,78.81305969048357,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.9845764170022449,0.0,True
epsilon_constraint,,78.88150918786181,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.7594794579999871,0.0,True
epsilon_constraint,,78.94995868524003,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,0.8079604169979575,0.0,True
epsilon_constraint,,79.01840818261827,24.28427622523578,77.85476672718833,24.284276225235764,21.783307199495272,12.504845128702518,0.9770881670046947,0.0,True
epsilon_constraint,,79.0868576799965,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,1.4375838339983602,0.0,True
epsilon_constraint,,79.15530717737474,24.28427622523578,77.85476672718833,24.28427622523577,21.783307199495272,12.504845128702518,1.2517400409997208,0.0,True
epsilon_constraint,,79.22375667475296,23.089059445460528,79.22375667475296,23.089059445460528,18.110770276274835,24.891445845928462,0.1487178329989547,0.0,True
